ZONE T="boundary0"
-0.0156795 0.087143 
-0.0170772 0.0908128 
-0.0166049 0.089592 
-0.016139 0.0883687 
-0.007532 0.0609038 
-0.00785421 0.0621725 
-0.00573861 0.0532576 
-0.0054631 0.0519779 
-0.0063097 0.0558125 
-0.00602081 0.0545358 
-0.00851854 0.0647048 
-0.00690752 0.0583613 
-0.00721643 0.0596334 
-0.00660527 0.0570877 
-0.0039511 0.0442712 
-0.00818306 0.0634395 
-0.0118346 0.0760083 
-0.00886065 0.0659683 
-6.5 0.25 
-6.75 0.25 
-4.20312 -0.25 
-7.25 -0.25 
-6.25 0.25 
-6 0.25 
-8.25 0.25 
-8.5 -0.25 
-8.75 -0.25 
-8.5 0.25 
-2.22656 -0.25 
-2.40625 -0.25 
-8 -0.25 
-5.46094 -0.25 
-5.64062 -0.25 
-3.30469 0.25 
-7.25 0.25 
-3.48438 0.25 
-3.66406 0.25 
-5.28125 0.25 
-8 0.25 
-9.25 -0.25 
-6.25 -0.25 
-6.75 -0.25 
-7 -0.25 
-7.5 0.25 
-6.5 -0.25 
-5.64062 0.25 
-4.5625 0.25 
-2.94531 -0.25 
-0.429687 -0.25 
-1.14844 -0.25 
-9 0.25 
-8.25 -0.25 
-1.14844 0.25 
-1.32812 0.25 
-0.789062 0.25 
-0.609375 0.25 
-0.609375 -0.25 
-0.96875 -0.25 
-4.02344 -0.25 
-3.84375 -0.25 
-3.125 -0.25 
-2.04688 0.25 
-8.75 0.25 
-9 -0.25 
-7.75 0.25 
-0.173992 0.238165 
-5.46094 0.25 
-4.38281 0.25 
-4.20312 0.25 
-4.02344 0.25 
-3.84375 0.25 
-3.48438 -0.25 
-5.28125 -0.25 
-5.10156 -0.25 
-4.92188 -0.25 
-2.58594 0.25 
-2.40625 0.25 
-0.96875 0.25 
-1.50781 -0.25 
-1.6875 -0.25 
-2.76562 0.25 
-2.94531 0.25 
-0.255615 -0.25 
-0.252808 -0.25 
-0.150713 -0.229439 
-0.244764 -0.249945 
